ALPHA,BETA,J,CO2
0.71999961,0.0199999996,0.0350022949,1.109684
0.7299996,0.0199999996,0.0313632898,1.0993803
0.73999959,0.0199999996,0.0339456983,1.0798053
0.74999958,0.0199999996,0.0303219091,1.0459126
0.75999957,0.0199999996,0.0303494688,1.0225166
0.76999956,0.0199999996,0.0243704282,0.96774602
0.77999955,0.0199999996,0.0391978435,1.1822275
0.78999954,0.0199999996,0.0182441529,0.85803759
0.79999954,0.0199999996,0.0253319778,0.961676
0.80999953,0.0199999996,0.0369846299,1.1637839
0.81999952,0.0199999996,0.0241533127,0.94843572
0.82999951,0.0199999996,0.0274797734,1.0367888
0.8399995,0.0199999996,0.0352147408,1.1180102
0.84999949,0.0199999996,0.024273131,0.9601537
0.85999948,0.0199999996,0.020581916,0.9083755
0.86999947,0.0199999996,0.0166508313,0.79507393
0.87999946,0.0199999996,0.0194405075,0.89828092
0.88999945,0.0199999996,0.0172053538,0.82827663
0.89999944,0.0199999996,0.0286785904,1.0043471
0.90999943,0.0199999996,0.0205119792,0.89590758
0.91999942,0.0199999996,0.0227172393,0.91517591
0.92999941,0.0199999996,0.034802001,1.1159343
0.9399994,0.0199999996,0.0336882547,1.1420178
0.94999939,0.0199999996,0.0252720248,1.0074252
0.95999938,0.0199999996,0.0296176579,1.011115
0.96999937,0.0199999996,0.0170154925,0.83471996
0.97999936,0.0199999996,0.0286885202,1.0112007
0.98999935,0.0199999996,0.00974035356,0.7163434
0.99999934,0.0199999996,0.0259188991,0.96901625
0,0.0299999993,0,0
0.00999999978,0.0299999993,0.065890111,1.9263643
0.0199999996,0.0299999993,0.0758361965,1.9735138
0.0299999993,0.0299999993,0.0970681086,2.0877299
0.0399999991,0.0299999993,0.0589704961,2.4551957
0.049999997,0.0299999993,0.0651096925,1.9516331
0.0599999949,0.0299999993,0.0745675936,2.0914421
0.0699999928,0.0299999993,0.0435984805,1.3019246
0.0799999908,0.0299999993,0.0289906505,1.0392499
0.0899999887,0.0299999993,0.0465103984,1.2968917
0.0999999866,0.0299999993,0.0330619253,1.1045921
0.10999998,0.0299999993,0.0500594825,1.3483469
0.11999998,0.0299999993,0.0489553884,1.3243603
0.12999998,0.0299999993,0.052936729,1.3502557
0.13999999,0.0299999993,0.0595354959,1.4999563
0.14999999,0.0299999993,0.00558691705,0.66131127
0.16,0.0299999993,0.0368429162,1.0942523
0.17,0.0299999993,0.0397723839,1.1941296
0.18000001,0.0299999993,0.0352321565,1.1060612
0.19000001,0.0299999993,0.0411835685,1.1969676
0.20000002,0.0299999993,0.0287985783,1.0006695
0.21000002,0.0299999993,0.0386436209,1.1286494
0.22000003,0.0299999993,0.0515630543,1.267266
0.23000003,0.0299999993,0.0377097465,1.1700228
0.24000004,0.0299999993,0.0426395684,1.21535
0.25000003,0.0299999993,0.0362806432,1.1043319
0.26000002,0.0299999993,0.0506714582,1.3176447
0.27000001,0.0299999993,0.0560206957,1.4250392
0.28,0.0299999993,0.0464178771,1.295946
0.28999999,0.0299999993,0.0440428965,1.2986481
0.29999998,0.0299999993,0.0328917876,1.0967026
0.30999997,0.0299999993,0.0406241268,1.1413543
0.31999996,0.0299999993,0.0234765448,0.89330447
0.32999995,0.0299999993,0.0375396833,1.1459472
0.33999994,0.0299999993,0.0467304178,1.3241165
0.34999993,0.0299999993,0.0386134237,1.138327
0.35999992,0.0299999993,0.0611335561,1.4788181
0.36999992,0.0299999993,0.0305669028,1.0315313
0.37999991,0.0299999993,0.0415758193,1.1891398
0.3899999,0.0299999993,0.0515602753,1.3838238
0.39999989,0.0299999993,0.0435485244,1.2438809
0.40999988,0.0299999993,0.0527894273,1.3129829
0.41999987,0.0299999993,0.0313259661,1.031285
0.42999986,0.0299999993,0.0504441261,1.319121
0.43999985,0.0299999993,0.0458783358,1.3241315
0.44999984,0.0299999993,0.0762690157,1.6598821
0.45999983,0.0299999993,0.0443601049,1.2876339
0.46999982,0.0299999993,0.0322725847,1.0354087
0.47999981,0.0299999993,0.0441953726,1.2679143
0.4899998,0.0299999993,0.0357763581,1.1229403
0.49999979,0.0299999993,0.049607072,1.3379608
0.50999981,0.0299999993,0.0567506291,1.4304988
0.5199998,0.0299999993,0.0347774699,1.0993869
0.52999979,0.0299999993,0.0361062288,1.0708375
0.53999978,0.0299999993,0.0605864041,1.51949
0.54999977,0.0299999993,0.041008614,1.1955147
0.55999976,0.0299999993,0.0584712699,1.4092351
0.56999975,0.0299999993,0.0438957475,1.2467157
0.57999974,0.0299999993,0.0566806309,1.4596772
0.58999974,0.0299999993,0.0339058749,1.0987946
0.59999973,0.0299999993,0.0256891698,0.95793766
0.60999972,0.0299999993,0.0455216207,1.3110205
0.61999971,0.0299999993,0.0463907123,1.2525737
0.6299997,0.0299999993,0.0563412644,1.3703386
0.63999969,0.0299999993,0.0465530902,1.2748262
0.64999968,0.0299999993,0.0386112332,1.1739696
0.65999967,0.0299999993,0.0406090468,1.206959
0.66999966,0.0299999993,0.0515228733,1.4085498
0.67999965,0.0299999993,0.0360511765,1.1235847
0.68999964,0.0299999993,0.0401345342,1.2028873
0.69999963,0.0299999993,0.0568302125,1.4611088
0.70999962,0.0299999993,0.0408537611,1.2022916
0.71999961,0.0299999993,0.0716485903,1.6493335
0.7299996,0.0299999993,0.0340357274,1.1034549
0.73999959,0.0299999993,0.0496800691,1.279809
0.74999958,0.0299999993,0.0476719253,1.3015325
0.75999957,0.0299999993,0.0445172526,1.2255545
0.76999956,0.0299999993,0.0544280112,1.4594138
0.77999955,0.0299999993,0.0547347255,1.3933924
0.78999954,0.0299999993,0.0358039476,1.0638883
0.79999954,0.0299999993,0.0197028033,0.86109555
0.80999953,0.0299999993,0.0377346091,1.1420958
0.81999952,0.0299999993,0.0419923626,1.237017
0.82999951,0.0299999993,0.0480068997,1.3154097
0.8399995,0.0299999993,0.0321502611,1.1073993
0.84999949,0.0299999993,0.0419479571,1.2025381
0.85999948,0.0299999993,0.0389931649,1.1780638
0.86999947,0.0299999993,0.0394203663,1.1970994
0.87999946,0.0299999993,0.0299375635,1.0369009
0.88999945,0.0299999993,0.0470797867,1.3030202
0.89999944,0.0299999993,0.0574667752,1.4652674
0.90999943,0.0299999993,0.0459883958,1.2007937
0.91999942,0.0299999993,0.0593331903,1.4148687
0.92999941,0.0299999993,0.035669066,1.1338472
0.9399994,0.0299999993,0.0634314492,1.4978828
0.94999939,0.0299999993,0.0436635986,1.1933734
0.95999938,0.0299999993,0.0335913636,1.0695794
0.96999937,0.0299999993,0.0500347391,1.3824427
0.97999936,0.0299999993,0.0175873339,0.86707348
0.98999935,0.0299999993,0.032237567,1.0461849
0.99999934,0.0299999993,0.0508387461,1.3642151
0,0.0399999991,0,0
0.00999999978,0.0399999991,0.0612918399,1.927453
0.0199999996,0.0399999991,0.0777040347,1.9840039
0.0299999993,0.0399999991,0.0961553678,2.053798
0.0399999991,0.0399999991,0.11728303,2.2007408
0.049999997,0.0399999991,0.0901176855,3.008163
0.0599999949,0.0399999991,0.0741907358,2.3391206
0.0699999928,0.0399999991,0.076436162,1.7759928
0.0799999908,0.0399999991,0.0872784182,2.0226457
0.0899999887,0.0399999991,0.0693765953,1.6475316
0.0999999866,0.0399999991,0.0818386748,1.7302096
0.10999998,0.0399999991,0.0476745665,1.2659311
0.11999998,0.0399999991,0.0750350058,1.6762323
0.12999998,0.0399999991,0.096295014,2.00333
0.13999999,0.0399999991,0.0516705588,1.1762974
0.14999999,0.0399999991,0.031028932,1.0345093
0.16,0.0399999991,0.0535040088,1.3218459
0.17,0.0399999991,0.0632640198,1.5304165
0.18000001,0.0399999991,0.0641710758,1.5089548
0.19000001,0.0399999991,0.0368328318,1.1522943
0.20000002,0.0399999991,0.0473548323,1.2571244
0.21000002,0.0399999991,0.0449674875,1.2433702
0.22000003,0.0399999991,0.0762093812,1.738577
0.23000003,0.0399999991,0.0564408563,1.4543278
0.24000004,0.0399999991,0.0569707379,1.4329768
0.25000003,0.0399999991,0.038841024,1.0852414
0.26000002,0.0399999991,0.0476744585,1.3133229
0.27000001,0.0399999991,0.083803989,1.6515734
0.28,0.0399999991,0.0677324533,1.4327332
0.28999999,0.0399999991,0.0589404665,1.4418502
0.29999998,0.0399999991,0.0695365816,1.5500976
0.30999997,0.0399999991,0.0379018188,1.2052696
0.31999996,0.0399999991,0.0535462201,1.3342469
0.32999995,0.0399999991,0.0614508949,1.3772223
0.33999994,0.0399999991,0.0803249627,1.7572916
0.34999993,0.0399999991,0.0672654584,1.577752
0.35999992,0.0399999991,0.0827907473,1.7769332
0.36999992,0.0399999991,0.0539682247,1.4344594
0.37999991,0.0399999991,0.0609237812,1.482818
0.3899999,0.0399999991,0.0690887198,1.597556
0.39999989,0.0399999991,0.0649354458,1.557005
0.40999988,0.0399999991,0.052544903,1.4213067
0.41999987,0.0399999991,0.0918912143,1.9780661
0.42999986,0.0399999991,0.0549349822,1.422148
0.43999985,0.0399999991,0.0651448071,1.5579305
0.44999984,0.0399999991,0.0710412264,1.6024027
0.45999983,0.0399999991,0.0570804179,1.4078182
0.46999982,0.0399999991,0.0547597855,1.3870145
0.47999981,0.0399999991,0.0681519657,1.6194134
0.4899998,0.0399999991,0.0676101595,1.6150402
0.49999979,0.0399999991,0.0581715479,1.4653727
0.50999981,0.0399999991,0.0489459112,1.2896127
0.5199998,0.0399999991,0.0665932298,1.5659049
0.52999979,0.0399999991,0.0772611275,1.6281488
0.53999978,0.0399999991,0.0593928099,1.4684478
0.54999977,0.0399999991,0.0737338513,1.7132249
0.55999976,0.0399999991,0.0790838078,1.7592669
0.56999975,0.0399999991,0.0536686108,1.3708389
0.57999974,0.0399999991,0.0533141121,1.3648902
0.58999974,0.0399999991,0.0773430243,1.7705419
0.59999973,0.0399999991,0.0713513717,1.5951724
0.60999972,0.0399999991,0.0429117866,1.1808988
0.61999971,0.0399999991,0.0966534466,1.898036
0.6299997,0.0399999991,0.0718631074,1.7505804
0.63999969,0.0399999991,0.0457688905,1.2576464
0.64999968,0.0399999991,0.0651598945,1.5610723
0.65999967,0.0399999991,0.0315409228,1.0402205
0.66999966,0.0399999991,0.0714489594,1.6065696
0.67999965,0.0399999991,0.0765462592,1.6812334
0.68999964,0.0399999991,0.0776950866,1.7207718
0.69999963,0.0399999991,0.0463583805,1.2572708
0.70999962,0.0399999991,0.0584091693,1.5220509
0.71999961,0.0399999991,0.0529393218,1.333593
0.7299996,0.0399999991,0.0522397757,1.3515341
0.73999959,0.0399999991,0.0488156714,1.2833501
0.74999958,0.0399999991,0.0601445064,1.5300617
0.75999957,0.0399999991,0.0316556655,1.0447298
0.76999956,0.0399999991,0.051051151,1.3520408
0.77999955,0.0399999991,0.0695433244,1.5582432
0.78999954,0.0399999991,0.0730272979,1.701022
0.79999954,0.0399999991,0.0611761473,1.4375941
0.80999953,0.0399999991,0.0585863478,1.5315318
0.81999952,0.0399999991,0.076329045,1.6051049
0.82999951,0.0399999991,0.051458355,1.2563379
0.8399995,0.0399999991,0.0610193349,1.4804134
0.84999949,0.0399999991,0.0821250454,1.8276479
0.85999948,0.0399999991,0.060329549,1.4847732
0.86999947,0.0399999991,0.0888853222,1.8728275
0.87999946,0.0399999991,0.0265557747,0.95868856
0.88999945,0.0399999991,0.0621680021,1.3926966
0.89999944,0.0399999991,0.0450222977,1.2628394
0.90999943,0.0399999991,0.075215362,1.6789037
0.91999942,0.0399999991,0.0736865699,1.7135636
0.92999941,0.0399999991,0.0665686205,1.5741671
0.9399994,0.0399999991,0.0466353968,1.3342748
0.94999939,0.0399999991,0.031852901,1.021208
0.95999938,0.0399999991,0.0508413315,1.2855365
0.96999937,0.0399999991,0.0737241954,1.6857451
0.97999936,0.0399999991,0.0489409268,1.1753081
0.98999935,0.0399999991,0.0639662519,1.5005271
0.99999934,0.0399999991,0.0521872789,1.327004
0,0.049999997,0,0
0.00999999978,0.049999997,0.0616854541,1.9173814
0.0199999996,0.049999997,0.078276366,1.9850858
0.0299999993,0.049999997,0.0974922478,2.1054597
0.0399999991,0.049999997,0.11213738,2.1503596
0.049999997,0.049999997,0.13513888,2.2706661
0.0599999949,0.049999997,0.11253843,3.1838884
0.0699999928,0.049999997,0.10373456,2.5346003
0.0799999908,0.049999997,0.0710888803,1.9833481
0.0899999887,0.049999997,0.0836038589,1.8999135
0.0999999866,0.049999997,0.0922629461,2.0763524
0.10999998,0.049999997,0.11708031,2.1841271
0.11999998,0.049999997,0.0982765779,1.8875997
0.12999998,0.049999997,0.10154338,1.958181
0.13999999,0.049999997,0.1272798,2.3870492
0.14999999,0.049999997,0.10508038,2.1276269
0.16,0.049999997,0.10796039,2.0781319
0.17,0.049999997,0.0625722259,1.4654977
0.18000001,0.049999997,0.10505297,2.1372941
0.19000001,0.049999997,0.0977881327,2.0553832
0.20000002,0.049999997,0.064762868,1.5353237
0.21000002,0.049999997,0.0418429822,1.1572779
0.22000003,0.049999997,0.073948577,1.7110647
0.23000003,0.049999997,0.0783816725,1.7229234
0.24000004,0.049999997,0.0652796179,1.631212
0.25000003,0.049999997,0.0774632394,1.739579
0.26000002,0.049999997,0.0917388499,1.9348474
0.27000001,0.049999997,0.0739384219,1.6300778
0.28,0.049999997,0.0722055435,1.6694534
0.28999999,0.049999997,0.065646708,1.5807681
0.29999998,0.049999997,0.0891357064,1.8706831
0.30999997,0.049999997,0.0956416726,1.9753623
0.31999996,0.049999997,0.10661166,2.0799892
0.32999995,0.049999997,0.0891288891,1.9785578
0.33999994,0.049999997,0.0781327114,1.6990693
0.34999993,0.049999997,0.073906213,1.6239212
0.35999992,0.049999997,0.0877174735,1.8517357
0.36999992,0.049999997,0.10715803,2.0048296
0.37999991,0.049999997,0.080574736,1.7086285
0.3899999,0.049999997,0.0864887908,1.7903987
0.39999989,0.049999997,0.10044005,1.9389555
0.40999988,0.049999997,0.0672854483,1.5045729
0.41999987,0.049999997,0.0840366855,1.8411844
0.42999986,0.049999997,0.0841089487,1.807585
0.43999985,0.049999997,0.0630169287,1.4145302
0.44999984,0.049999997,0.0623053759,1.3499273
0.45999983,0.049999997,0.11094484,2.1565025
0.46999982,0.049999997,0.0996906981,2.0230296
0.47999981,0.049999997,0.10596873,2.0833697
0.4899998,0.049999997,0.0953350738,1.8938417
0.49999979,0.049999997,0.066251725,1.5344813
0.50999981,0.049999997,0.0729989037,1.6260293
0.5199998,0.049999997,0.0734139904,1.6994394
0.52999979,0.049999997,0.0536686331,1.248117
0.53999978,0.049999997,0.11404893,2.1424637
0.54999977,0.049999997,0.12051307,2.3089557
0.55999976,0.049999997,0.0821255073,1.7940363
0.56999975,0.049999997,0.0853799134,1.8725159
0.57999974,0.049999997,0.089141123,1.8440447
0.58999974,0.049999997,0.0870758742,1.799512
0.59999973,0.049999997,0.0686012283,1.6288141
0.60999972,0.049999997,0.0682246909,1.5151671
0.61999971,0.049999997,0.0995480567,2.1222301
0.6299997,0.049999997,0.0818231776,1.7209535
0.63999969,0.049999997,0.0861317962,1.8599044
0.64999968,0.049999997,0.0723605081,1.6517113
